Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/100 [00:00<?, ?it/s]Loading weights: 100%|██████████| 100/100 [00:00<00:00, 15451.48it/s]
[1mDistilBertForSequenceClassification LOAD REPORT[0m from: distilbert-base-uncased
Key                     | Status     | 
------------------------+------------+-
vocab_layer_norm.weight | UNEXPECTED | 
vocab_layer_norm.bias   | UNEXPECTED | 
vocab_transform.weight  | UNEXPECTED | 
vocab_transform.bias    | UNEXPECTED | 
vocab_projector.bias    | UNEXPECTED | 
classifier.bias         | MISSING    | 
pre_classifier.weight   | MISSING    | 
pre_classifier.bias     | MISSING    | 
classifier.weight       | MISSING    | 

[3mNotes:
- UNEXPECTED[3m	:can be ignored when loading from different task/architecture; not ok if you expect identical arch.
- MISSING[3m	:those params were newly initialized because missing from the checkpoint. Consider training on your downstream task.[0m
Epoch 1/3 | Batch 95/826 | Loss: 0.6417
Epoch 1/3 | Batch 96/826 | Loss: 0.6845
Epoch 1/3 | Batch 97/826 | Loss: 0.6446
Epoch 1/3 | Batch 98/826 | Loss: 0.6600
Epoch 1/3 | Batch 99/826 | Loss: 0.6681
Epoch 1/3 | Batch 100/826 | Loss: 0.6312
Epoch 1/3 | Batch 101/826 | Loss: 0.6603
Epoch 1/3 | Batch 102/826 | Loss: 0.7028
Epoch 1/3 | Batch 103/826 | Loss: 0.6587
Epoch 1/3 | Batch 104/826 | Loss: 0.6971
Epoch 1/3 | Batch 105/826 | Loss: 0.5995
Epoch 1/3 | Batch 106/826 | Loss: 0.6383
Epoch 1/3 | Batch 107/826 | Loss: 0.6248
Epoch 1/3 | Batch 108/826 | Loss: 0.6376
Epoch 1/3 | Batch 109/826 | Loss: 0.6234
Epoch 1/3 | Batch 110/826 | Loss: 0.6815
Epoch 1/3 | Batch 111/826 | Loss: 0.6632
Epoch 1/3 | Batch 112/826 | Loss: 0.6463
Epoch 1/3 | Batch 113/826 | Loss: 0.6531
Epoch 1/3 | Batch 114/826 | Loss: 0.6259
Epoch 1/3 | Batch 115/826 | Loss: 0.6867
Epoch 1/3 | Batch 116/826 | Loss: 0.6585
Epoch 1/3 | Batch 117/826 | Loss: 0.6572
Epoch 1/3 | Batch 118/826 | Loss: 0.6046
Epoch 1/3 | Batch 119/826 | Loss: 0.6214
Epoch 1/3 | Batch 120/826 | Loss: 0.6417
Epoch 1/3 | Batch 121/826 | Loss: 0.6273
Epoch 1/3 | Batch 122/826 | Loss: 0.6547
Epoch 1/3 | Batch 123/826 | Loss: 0.6641
Epoch 1/3 | Batch 124/826 | Loss: 0.6270
Epoch 1/3 | Batch 125/826 | Loss: 0.6301
Epoch 1/3 | Batch 126/826 | Loss: 0.6264
Epoch 1/3 | Batch 127/826 | Loss: 0.6035
Epoch 1/3 | Batch 128/826 | Loss: 0.6637
Epoch 1/3 | Batch 129/826 | Loss: 0.6731
Epoch 1/3 | Batch 130/826 | Loss: 0.6312
Epoch 1/3 | Batch 131/826 | Loss: 0.6199
Epoch 1/3 | Batch 132/826 | Loss: 0.6335
Epoch 1/3 | Batch 133/826 | Loss: 0.6572
Epoch 1/3 | Batch 134/826 | Loss: 0.6518
Epoch 1/3 | Batch 135/826 | Loss: 0.5999
Epoch 1/3 | Batch 136/826 | Loss: 0.6611
Epoch 1/3 | Batch 137/826 | Loss: 0.6642
Epoch 1/3 | Batch 138/826 | Loss: 0.6644
Epoch 1/3 | Batch 139/826 | Loss: 0.5872
Epoch 1/3 | Batch 140/826 | Loss: 0.6726
Epoch 1/3 | Batch 141/826 | Loss: 0.6597
Epoch 1/3 | Batch 142/826 | Loss: 0.6071
Epoch 1/3 | Batch 143/826 | Loss: 0.6376
